iteration,objective,primal_residual,dual_residual
1,3.34785783707951,3.70476620042973,0.724995265880509
2,10.131387019548,2.26535912233181,1.79598693882635
3,15.1386177417478,1.09575631728862,2.03250577616785
4,17.6807042628345,0.805033932133961,1.7218939178403
5,18.6892336191905,0.861937800644837,1.22337587794313
6,18.9234201995291,0.80777708244946,0.766937784881953
7,18.7993608774951,0.661126710354431,0.439815236314512
8,18.4942607815589,0.490561827175406,0.265918698536283
9,18.1222625890981,0.337908670496752,0.215886763785036
10,17.7763918722524,0.225546428406924,0.198692205256565
11,17.5137631202306,0.158458044557927,0.172132063621378
12,17.3485655776902,0.121155850259485,0.137947869872546
13,17.2698674180105,0.0978584762251988,0.104430388697096
14,17.2516024478062,0.0799253273985028,0.0758560468476407
15,17.2693553575176,0.0649905372514796,0.0531550738297721
